================================================================================
Testing initialization: Too Small Init
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with initialization: normal, gain: 0.01, learning rate: 0.001
Epoch [1/15], Step [10/114], Loss: 2.3964
Epoch [1/15], Step [20/114], Loss: 2.2893
Epoch [1/15], Step [30/114], Loss: 2.2775
Epoch [1/15], Step [40/114], Loss: 2.0815
Epoch [1/15], Step [50/114], Loss: 1.6685
Epoch [1/15], Step [60/114], Loss: 1.4409
Epoch [1/15], Step [70/114], Loss: 0.9919
Epoch [1/15], Step [80/114], Loss: 0.6438
Epoch [1/15], Step [90/114], Loss: 0.6362
Epoch [1/15], Step [100/114], Loss: 0.4769
Epoch [1/15], Step [110/114], Loss: 0.3561
Epoch [1/15], Loss: 1.4388, Train Acc: 52.83%, Test Acc: 86.10%
Epoch [2/15], Step [10/114], Loss: 0.4470
Epoch [2/15], Step [20/114], Loss: 0.2326
Epoch [2/15], Step [30/114], Loss: 0.3527
Epoch [2/15], Step [40/114], Loss: 0.2597
Epoch [2/15], Step [50/114], Loss: 0.2970
Epoch [2/15], Step [60/114], Loss: 0.3181
Epoch [2/15], Step [70/114], Loss: 0.2423
Epoch [2/15], Step [80/114], Loss: 0.1401
Epoch [2/15], Step [90/114], Loss: 0.1576
Epoch [2/15], Step [100/114], Loss: 0.1049
Epoch [2/15], Step [110/114], Loss: 0.1268
Epoch [2/15], Loss: 0.2629, Train Acc: 93.14%, Test Acc: 92.33%
Epoch [3/15], Step [10/114], Loss: 0.1827
Epoch [3/15], Step [20/114], Loss: 0.1855
Epoch [3/15], Step [30/114], Loss: 0.1566
Epoch [3/15], Step [40/114], Loss: 0.1188
Epoch [3/15], Step [50/114], Loss: 0.0905
Epoch [3/15], Step [60/114], Loss: 0.2348
Epoch [3/15], Step [70/114], Loss: 0.0985
Epoch [3/15], Step [80/114], Loss: 0.1692
Epoch [3/15], Step [90/114], Loss: 0.1840
Epoch [3/15], Step [100/114], Loss: 0.0948
Epoch [3/15], Step [110/114], Loss: 0.1052
Epoch [3/15], Loss: 0.1520, Train Acc: 96.19%, Test Acc: 93.72%
Epoch [4/15], Step [10/114], Loss: 0.1258
Epoch [4/15], Step [20/114], Loss: 0.1726
Epoch [4/15], Step [30/114], Loss: 0.1044
Epoch [4/15], Step [40/114], Loss: 0.1041
Epoch [4/15], Step [50/114], Loss: 0.1128
Epoch [4/15], Step [60/114], Loss: 0.0704
Epoch [4/15], Step [70/114], Loss: 0.0662
Epoch [4/15], Step [80/114], Loss: 0.0865
Epoch [4/15], Step [90/114], Loss: 0.0502
Epoch [4/15], Step [100/114], Loss: 0.0523
Epoch [4/15], Step [110/114], Loss: 0.0515
Epoch [4/15], Loss: 0.1096, Train Acc: 97.24%, Test Acc: 94.52%
Epoch [5/15], Step [10/114], Loss: 0.1118
Epoch [5/15], Step [20/114], Loss: 0.0864
Epoch [5/15], Step [30/114], Loss: 0.0872
Epoch [5/15], Step [40/114], Loss: 0.1159
Epoch [5/15], Step [50/114], Loss: 0.0454
Epoch [5/15], Step [60/114], Loss: 0.0869
Epoch [5/15], Step [70/114], Loss: 0.0634
Epoch [5/15], Step [80/114], Loss: 0.0534
