================================================================================
Testing learning rate: 0.0001
================================================================================

Using device: cuda
Loading training data...
Loading test data...
Starting training with learning rate: 0.0001, optimizer: adam
Epoch [1/15], Step [10/114], Loss: 2.3363
Epoch [1/15], Step [20/114], Loss: 2.2287
Epoch [1/15], Step [30/114], Loss: 2.2349
Epoch [1/15], Step [40/114], Loss: 2.2345
Epoch [1/15], Step [50/114], Loss: 2.1877
Epoch [1/15], Step [60/114], Loss: 2.2935
Epoch [1/15], Step [70/114], Loss: 2.2641
Epoch [1/15], Step [80/114], Loss: 2.1705
Epoch [1/15], Step [90/114], Loss: 2.2064
Epoch [1/15], Step [100/114], Loss: 2.2328
Epoch [1/15], Step [110/114], Loss: 2.2107
Epoch [1/15], Loss: 2.2389, Train Acc: 18.75%, Test Acc: 30.49%
Epoch [2/15], Step [10/114], Loss: 2.2760
Epoch [2/15], Step [20/114], Loss: 2.1505
Epoch [2/15], Step [30/114], Loss: 2.1310
Epoch [2/15], Step [40/114], Loss: 2.0102
Epoch [2/15], Step [50/114], Loss: 2.1641
Epoch [2/15], Step [60/114], Loss: 2.1949
Epoch [2/15], Step [70/114], Loss: 2.1420
Epoch [2/15], Step [80/114], Loss: 2.0018
Epoch [2/15], Step [90/114], Loss: 2.1193
Epoch [2/15], Step [100/114], Loss: 2.0964
Epoch [2/15], Step [110/114], Loss: 1.9212
Epoch [2/15], Loss: 2.0955, Train Acc: 30.50%, Test Acc: 31.44%
Epoch [3/15], Step [10/114], Loss: 1.9683
Epoch [3/15], Step [20/114], Loss: 1.9431
Epoch [3/15], Step [30/114], Loss: 1.8655
Epoch [3/15], Step [40/114], Loss: 1.8506
Epoch [3/15], Step [50/114], Loss: 1.8355
Epoch [3/15], Step [60/114], Loss: 1.7917
Epoch [3/15], Step [70/114], Loss: 1.7588
Epoch [3/15], Step [80/114], Loss: 1.6971
Epoch [3/15], Step [90/114], Loss: 1.6696
Epoch [3/15], Step [100/114], Loss: 1.5795
Epoch [3/15], Step [110/114], Loss: 1.6363
Epoch [3/15], Loss: 1.7874, Train Acc: 45.93%, Test Acc: 56.45%
Epoch [4/15], Step [10/114], Loss: 1.4597
Epoch [4/15], Step [20/114], Loss: 1.5536
Epoch [4/15], Step [30/114], Loss: 1.3830
Epoch [4/15], Step [40/114], Loss: 1.3939
Epoch [4/15], Step [50/114], Loss: 1.3798
Epoch [4/15], Step [60/114], Loss: 1.2693
Epoch [4/15], Step [70/114], Loss: 1.2552
Epoch [4/15], Step [80/114], Loss: 1.1527
Epoch [4/15], Step [90/114], Loss: 1.2183
Epoch [4/15], Step [100/114], Loss: 1.2113
Epoch [4/15], Step [110/114], Loss: 1.2220
Epoch [4/15], Loss: 1.3494, Train Acc: 71.64%, Test Acc: 76.58%
Epoch [5/15], Step [10/114], Loss: 1.1869
Epoch [5/15], Step [20/114], Loss: 1.1385
Epoch [5/15], Step [30/114], Loss: 1.0054
Epoch [5/15], Step [40/114], Loss: 1.0635
Epoch [5/15], Step [50/114], Loss: 0.8980
Epoch [5/15], Step [60/114], Loss: 0.8898
Epoch [5/15], Step [70/114], Loss: 0.9379
